Data_Type,p,mc,synmc,TargetType,Target,Metric,Synth_Family,rel_orig,rel_synth,reinforcement_ratio
hierarchical,18,4,2,Categorical,C3,Specificity,svm,0.9777362210993926,0.9316118000748973,0.9528252917002177
hierarchical,18,4,3,Categorical,C3,Accuracy,svm,0.9243736787310654,0.8056123826064502,0.8715224169000086
hierarchical,18,4,3,Categorical,C3,F1,svm,0.9232161723933842,0.8030574690486647,0.8698477052961334
hierarchical,18,4,3,Categorical,C3,Specificity,svm,0.9777362210993926,0.9339215277529753,0.9551876135905543
hierarchical,18,4,4,Categorical,C3,Accuracy,svm,0.9243736787310654,0.7926075090455698,0.8574535680566135
hierarchical,18,4,4,Categorical,C3,F1,svm,0.9232161723933842,0.7903855252702757,0.8561218367971688
hierarchical,18,4,4,Categorical,C3,Specificity,svm,0.9777362210993926,0.9275676480664726,0.9486890513511823
hierarchical,18,4,5,Categorical,C3,Accuracy,svm,0.9243736787310654,0.8121512838686855,0.8785962890933532
hierarchical,18,4,5,Categorical,C3,F1,svm,0.9232161723933842,0.8108479659366188,0.8782861372917057
hierarchical,18,4,5,Categorical,C3,Specificity,svm,0.9777362210993926,0.9355341975929944,0.9568370051188805
hierarchical,18,5,1,Categorical,C3,Accuracy,svm,1,0.9989757737986785,0.9989757737986785
hierarchical,18,5,1,Categorical,C3,F1,svm,1,0.9992421265742554,0.9992421265742554
hierarchical,18,5,1,Categorical,C3,Specificity,svm,1,0.994846131927625,0.994846131927625
hierarchical,18,5,2,Categorical,C3,Accuracy,svm,1,0.998567188619384,0.998567188619384
hierarchical,18,5,2,Categorical,C3,F1,svm,1,0.9988823356467798,0.9988823356467798
hierarchical,18,5,2,Categorical,C3,Specificity,svm,1,0.9974554707379135,0.9974554707379135
hierarchical,18,5,3,Categorical,C3,Specificity,svm,1,0.9980160925504776,0.9980160925504776
hierarchical,18,5,5,Categorical,C3,Accuracy,svm,1,0.9981601228667789,0.9981601228667789
hierarchical,18,5,5,Categorical,C3,F1,svm,1,0.9985680904391764,0.9985680904391764
hierarchical,18,5,5,Categorical,C3,Specificity,svm,1,0.9971686948512808,0.9971686948512808
parametric,6,1,1,Categorical,C3,Accuracy,svm,0.9945844967473416,0.6370804219241334,0.6405493188438202
parametric,6,1,1,Categorical,C3,F1,svm,0.9923293953313195,0.6251823376011946,0.6300149330882799
parametric,6,1,1,Categorical,C3,Specificity,svm,0.996781187715395,0.7954176520279627,0.7979862198754433
parametric,6,1,1,Continuous,X1,MAE,svm,0.9568029308634693,0.45438903858978047,0.4749034769152681
parametric,6,1,1,Continuous,X1,RMSE,svm,0.9491534996982812,0.5507857322692223,0.5802915254954095
parametric,6,1,1,Continuous,X1,R_squared,svm,0.9002622293883786,0.30556989791030403,0.33942321240990253
parametric,6,1,1,Continuous,X2,MAE,svm,0.9428404837626421,0.8311910045800436,0.881581793415326
parametric,6,1,1,Continuous,X2,RMSE,svm,0.9373183501396729,0.8476949254071445,0.904383153579386
parametric,6,1,1,Continuous,X2,R_squared,svm,0.8791597475844787,0.7199400014298077,0.8188955458980776
parametric,6,1,2,Categorical,C3,Accuracy,svm,0.9945844967473416,0.6335005133751284,0.6369499177263559
parametric,6,1,2,Categorical,C3,F1,svm,0.9923293953313195,0.6215888563971105,0.6263936746422533
parametric,6,1,2,Categorical,C3,Specificity,svm,0.996781187715395,0.7893171515692478,0.7918660196410295
parametric,6,1,2,Continuous,X1,MAE,svm,0.9568029308634693,0.4555571819863412,0.4761243588324112
parametric,6,1,2,Continuous,X1,RMSE,svm,0.9491534996982812,0.5361943775367601,0.5649185065505281
parametric,6,1,2,Continuous,X1,R_squared,svm,0.9002622293883786,0.2883325850779863,0.32027622137815787
parametric,6,1,2,Continuous,X2,MAE,svm,0.9428404837626421,0.83453759126754,0.8851312662531289
parametric,6,1,2,Continuous,X2,RMSE,svm,0.9373183501396729,0.8523943776043409,0.9093968740474597
parametric,6,1,2,Continuous,X2,R_squared,svm,0.8791597475844787,0.7278991476922243,0.8279486745067116
parametric,6,1,3,Categorical,C3,Accuracy,svm,0.9945844967473416,0.6419989289997322,0.6454946071442956
parametric,6,1,3,Categorical,C3,F1,svm,0.9923293953313195,0.6300050416905769,0.6348749161867068
parametric,6,1,3,Categorical,C3,Specificity,svm,0.996781187715395,0.7929959497347902,0.7955566974054987
parametric,6,1,3,Continuous,X1,MAE,svm,0.9568029308634693,0.4613737431597169,0.4822035220391193
parametric,6,1,3,Continuous,X1,RMSE,svm,0.9491534996982812,0.5416810792725479,0.5706991329060458
parametric,6,1,3,Continuous,X1,R_squared,svm,0.9002622293883786,0.2940785067850374,0.3266587191876625
parametric,6,1,3,Continuous,X2,MAE,svm,0.9428404837626421,0.8429692515537734,0.894074094262152
parametric,6,1,3,Continuous,X2,RMSE,svm,0.9373183501396729,0.8609169637724596,0.9184893943921737
parametric,6,1,3,Continuous,X2,R_squared,svm,0.8791597475844787,0.7419260535157639,0.8439035744689528
parametric,6,1,4,Categorical,C3,Accuracy,svm,0.9945844967473416,0.6355022268005567,0.6389625304626038
parametric,6,1,4,Categorical,C3,F1,svm,0.9923293953313195,0.6241844721777121,0.6290093542671978
parametric,6,1,4,Categorical,C3,Specificity,svm,0.996781187715395,0.7897742417111097,0.7923245858213459
parametric,6,1,4,Continuous,X1,MAE,svm,0.9568029308634693,0.4544763460630274,0.474994726085218
parametric,6,1,4,Continuous,X1,RMSE,svm,0.9491534996982812,0.5327835331219108,0.5613249419522481
parametric,6,1,4,Continuous,X1,R_squared,svm,0.9002622293883786,0.2845711745762321,0.3160980937404921
parametric,6,1,4,Continuous,X2,MAE,svm,0.9428404837626421,0.8325517638736374,0.883025048469631
parametric,6,1,4,Continuous,X2,RMSE,svm,0.9373183501396729,0.8521339828056327,0.9091190657674134
parametric,6,1,4,Continuous,X2,R_squared,svm,0.8791597475844787,0.7261385974370805,0.825946137129425
parametric,6,1,5,Categorical,C3,Accuracy,svm,0.9945844967473416,0.6437999999999999,0.6473054849592604
parametric,6,1,5,Categorical,C3,F1,svm,0.9923293953313195,0.63535452344051635,0.6402657488830953
parametric,6,1,5,Categorical,C3,Specificity,svm,0.996781187715395,0.8001800057989199,0.802763952270125
parametric,6,1,5,Continuous,X1,MAE,svm,0.9568029308634693,0.4559743005770559,0.47656030920135317
parametric,6,1,5,Continuous,X1,RMSE,svm,0.9491534996982812,0.5315971876601336,0.5600750435299652
parametric,6,1,5,Continuous,X1,R_squared,svm,0.9002622293883786,0.28400325401716026,0.31546725470211806
parametric,6,1,5,Continuous,X2,MAE,svm,0.9428404837626421,0.8439527463042418,0.8951172131856665
parametric,6,1,5,Continuous,X2,RMSE,svm,0.9373183501396729,0.864023497616821,0.9218036726668906
parametric,6,1,5,Continuous,X2,R_squared,svm,0.8791597475844787,0.7468604395737715,0.849516190460034
parametric,6,2,1,Categorical,C1,Specificity,svm,0.9765366633135647,0.9655142824993684,0.988712783423005
parametric,6,2,1,Categorical,C2,Accuracy,svm,0.9649161916527438,0.8741,0.905881782854954
parametric,6,2,1,Categorical,C2,F1,svm,0.9256263859695174,0.8497070872253818,0.9179806238295418
parametric,6,2,1,Categorical,C2,Specificity,svm,0.9805416439886181,0.9411444141689373,0.9598209519593458
parametric,6,2,1,Continuous,X1,MAE,svm,0.9373058476630642,0.6647602960281515,0.7092245265358833
parametric,6,2,1,Continuous,X1,RMSE,svm,0.918064457374723,0.8737962108579717,0.951780894945721
parametric,6,2,1,Continuous,X1,R_squared,svm,0.8418469559406162,0.7638213237137668,0.9073161318975496
parametric,6,2,2,Categorical,C1,F1,svm,0.8809388623292427,0.8740861026779998,0.9922210723759832
parametric,6,2,2,Categorical,C1,Specificity,svm,0.9765366633135647,0.9629363818648,0.9860729433315729
parametric,6,2,2,Categorical,C2,Accuracy,svm,0.9649161916527438,0.8780159246343656,0.9099400882997598
parametric,6,2,2,Categorical,C2,F1,svm,0.9256263859695174,0.8543787998648884,0.9230277062272776
parametric,6,2,2,Categorical,C2,Specificity,svm,0.9805416439886181,0.93581991194903,0.954390787669486
parametric,6,2,2,Continuous,X1,MAE,svm,0.9373058476630642,0.7210873014785629,0.7693191110206047
parametric,6,2,2,Continuous,X1,RMSE,svm,0.918064457374723,0.8897280581807289,0.9691346299637563
parametric,6,2,2,Continuous,X1,R_squared,svm,0.8418469559406162,0.7931305645307367,0.9421315346380893
parametric,6,2,3,Categorical,C2,Accuracy,svm,0.9649161916527438,0.8637990862997716,0.8952063337440995
parametric,6,2,3,Categorical,C2,F1,svm,0.9256263859695174,0.8305275576495216,0.8972600287097611
parametric,6,2,3,Categorical,C2,Specificity,svm,0.9805416439886181,0.94556598062954,0.9643302621836589
parametric,6,2,3,Continuous,X1,MAE,svm,0.9373058476630642,0.6717740636141196,0.716707428305306
parametric,6,2,3,Continuous,X1,RMSE,svm,0.918064457374723,0.8854347026119894,0.9644581004082863
parametric,6,2,3,Continuous,X1,R_squared,svm,0.8418469559406162,0.7851182887346052,0.9326140377348913
parametric,6,2,4,Categorical,C1,Specificity,svm,0.9765366633135647,0.9684334743805855,0.9917021149974199
parametric,6,2,4,Categorical,C2,Accuracy,svm,0.9649161916527438,0.8681813632269043,0.8997479477879332
parametric,6,2,4,Categorical,C2,F1,svm,0.9256263859695174,0.84247124001557006,0.9101633799398996
parametric,6,2,4,Categorical,C2,Specificity,svm,0.9805416439886181,0.9437419827744181,0.962470068008017
parametric,6,2,4,Continuous,X1,MAE,svm,0.9373058476630642,0.6890874704194552,0.735178887593117
parametric,6,2,4,Continuous,X1,RMSE,svm,0.918064457374723,0.8699600391110258,0.9476023520164853
parametric,6,2,4,Continuous,X1,R_squared,svm,0.8418469559406162,0.7576821689543856,0.9000236487258052
parametric,6,2,5,Categorical,C1,Specificity,svm,0.9765366633135647,0.9652078466203687,0.9883989847808118
parametric,6,2,5,Categorical,C2,Accuracy,svm,0.9649161916527438,0.8716358179089544,0.903328004493307
parametric,6,2,5,Categorical,C2,F1,svm,0.9256263859695174,0.8463859957834764,0.9143926843625538
parametric,6,2,5,Categorical,C2,Specificity,svm,0.9805416439886181,0.9383285611367032,0.9569492197392027
parametric,6,2,5,Continuous,X1,MAE,svm,0.9373058476630642,0.6393402378579796,0.6821041813107357
parametric,6,2,5,Continuous,X1,RMSE,svm,0.918064457374723,0.8632832454190643,0.940329666925229
parametric,6,2,5,Continuous,X1,R_squared,svm,0.8418469559406162,0.7460447248935018,0.8861999436226835
parametric,6,2,5,Continuous,X2,MAE,svm,0.9687340800930662,0.9642399938571055,0.9953608670033277
parametric,6,3,1,Categorical,C1,Accuracy,svm,0.8154169349054895,0.7382408270138335,0.9053538078644381
parametric,6,3,1,Categorical,C1,F1,svm,0.7835928395778787,0.7250437846871326,0.9252812788306151
parametric,6,3,1,Categorical,C3,Accuracy,svm,0.9883467036595108,0.9860917314576177,0.9977184401045264
parametric,6,3,1,Categorical,C3,F1,svm,0.9779866582803937,0.9752781091052287,0.9972304845344951
parametric,6,3,1,Continuous,X1,MAE,svm,0.9682335139326983,0.6136982683828138,0.6338329127754938
parametric,6,3,1,Continuous,X1,RMSE,svm,0.9406034197324041,0.7165021101997106,0.7617472945224364
parametric,6,3,1,Continuous,X1,R_squared,svm,0.8812086570356366,0.5156729884016745,0.5851882914273508
parametric,6,3,2,Categorical,C1,Accuracy,svm,0.8154169349054895,0.7259165959712597,0.8902397839645024
parametric,6,3,2,Categorical,C1,F1,svm,0.7835928395778787,0.71271279257801,0.9095448000289899
parametric,6,3,2,Categorical,C3,F1,svm,0.9779866582803937,0.9730124723762478,0.9949138509589772
parametric,6,3,2,Continuous,X1,MAE,svm,0.9682335139326983,0.6421697545681241,0.6632385115030848
parametric,6,3,2,Continuous,X1,RMSE,svm,0.9406034197324041,0.7377142790909671,0.7842989549207063
parametric,6,3,2,Continuous,X1,R_squared,svm,0.8812086570356366,0.5446204749569866,0.6180380442346947
parametric,6,3,3,Categorical,C1,Accuracy,svm,0.8154169349054895,0.7286827218604863,0.8936320680474265
parametric,6,3,3,Categorical,C1,F1,svm,0.7835928395778787,0.7165868316681486,0.9144887439938499
parametric,6,3,3,Continuous,X1,MAE,svm,0.9682335139326983,0.6423864773087333,0.6634623446357854
parametric,6,3,3,Continuous,X1,RMSE,svm,0.9406034197324041,0.722519156142872,0.7681443007600633
parametric,6,3,3,Continuous,X1,R_squared,svm,0.8812086570356366,0.5227982259291633,0.5932740466802076
parametric,6,3,4,Categorical,C1,Accuracy,svm,0.8154169349054895,0.7311464027310378,0.8966534436959921
parametric,6,3,4,Categorical,C1,F1,svm,0.7835928395778787,0.7190591438345885,0.9176438419497879
parametric,6,3,4,Continuous,X1,MAE,svm,0.9682335139326983,0.6342122985633448,0.6550199816853569
parametric,6,3,4,Continuous,X1,RMSE,svm,0.9406034197324041,0.7244173119882918,0.7701623200502334
parametric,6,3,4,Continuous,X1,R_squared,svm,0.8812086570356366,0.5248840015450322,0.5956409953015313
parametric,6,3,5,Categorical,C1,Accuracy,svm,0.8154169349054895,0.7270068812720216,0.8915768733160846
parametric,6,3,5,Categorical,C1,F1,svm,0.7835928395778787,0.7143993253875922,0.9116971076106808
parametric,6,3,5,Continuous,X1,MAE,svm,0.9682335139326983,0.6307031423870668,0.6513956946453177
parametric,6,3,5,Continuous,X1,RMSE,svm,0.9406034197324041,0.7246860131261543,0.7704479889434412
parametric,6,3,5,Continuous,X1,R_squared,svm,0.8812086570356366,0.5259247776588091,0.5968220732510806
parametric,6,4,1,Categorical,C2,Accuracy,svm,0.9805003716725827,0.8191382765531062,0.8354288281969566
parametric,6,4,1,Categorical,C2,F1,svm,0.9638162055693805,0.8185097809530586,0.8492384504673469
parametric,6,4,1,Categorical,C2,Specificity,svm,0.9906225104598757,0.907506757158995,0.9160974514274908
parametric,6,4,1,Continuous,X1,MAE,svm,0.9163799015743005,0.5071644508164403,0.5534434462662855
parametric,6,4,1,Continuous,X1,RMSE,svm,0.9135985753162652,0.6269229192991361,0.6862126717766728
parametric,6,4,1,Continuous,X1,R_squared,svm,0.8349226581705724,0.39457481800862937,0.47258846570674673
parametric,6,4,1,Continuous,X2,MAE,svm,0.9670092638098784,0.8135923772038695,0.8413491035219577
parametric,6,4,1,Continuous,X2,RMSE,svm,0.9666159461502651,0.8311282252900382,0.8598329342694655
parametric,6,4,1,Continuous,X2,R_squared,svm,0.9347661747982527,0.6928112159423271,0.741159912094438
parametric,6,4,2,Categorical,C2,Accuracy,svm,0.9805003716725827,0.8215360144248998,0.8378742509026139
parametric,6,4,2,Categorical,C2,F1,svm,0.9638162055693805,0.821058837435011,0.8518832041737306
parametric,6,4,2,Categorical,C2,Specificity,svm,0.9906225104598757,0.9083732133738763,0.9169721097415635
parametric,6,4,2,Continuous,X1,MAE,svm,0.9163799015743005,0.49338517506078255,0.5384068050959744
parametric,6,4,2,Continuous,X1,RMSE,svm,0.9135985753162652,0.6051915072533263,0.6624260628294258
parametric,6,4,2,Continuous,X1,R_squared,svm,0.8349226581705724,0.36626467680139213,0.4386809642990492
parametric,6,4,2,Continuous,X2,MAE,svm,0.9670092638098784,0.8248123583874488,0.8529518684627756
parametric,6,4,2,Continuous,X2,RMSE,svm,0.9666159461502651,0.8363528939350571,0.8652380475058312
parametric,6,4,2,Continuous,X2,R_squared,svm,0.9347661747982527,0.7000892537554377,0.7489458568679334
