Data_Type,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,Categorical,Specificity,bn,bn,TRUE,15,0.0874102675974594,0.008988374697511734,0.070168517087956,0.10529873326254281,4e-4
hierarchical,Categorical,Specificity,bn,cart,FALSE,15,-0.008284514882286346,0.001819154951608972,-0.012177356911797063,-0.005081719251391471,4e-4
hierarchical,Categorical,Specificity,bn,parm,FALSE,15,0.07310680246393755,0.007483374189963106,0.05905257559020424,0.08845351075141641,4e-4
hierarchical,Categorical,Specificity,bn,svm,FALSE,15,0.020763788746320767,0.003292346088766644,0.01469419174132424,0.027405180778473075,4e-4
hierarchical,Categorical,Specificity,cart,bn,FALSE,15,0.006967602529489355,0.002188134999970506,0.002873643827818381,0.01134500962056818,0.0012
hierarchical,Categorical,Specificity,cart,cart,TRUE,15,0,0,0,0,1
hierarchical,Categorical,Specificity,cart,parm,FALSE,15,0.0043815377196353075,0.0012939509370262423,0.0019807174982223374,0.007065211074032055,4e-4
hierarchical,Categorical,Specificity,cart,svm,FALSE,15,-0.0011562534824867052,7.734883674051937e-4,-0.002763508737927039,2.1350941330444125e-4,0.1092
hierarchical,Categorical,Specificity,parm,bn,FALSE,15,0.023644568056196625,0.007379347942852062,0.01053210418967489,0.03973462993820583,4e-4
hierarchical,Categorical,Specificity,parm,cart,FALSE,15,-0.03740826335329712,0.004826927121324813,-0.04686529562132341,-0.028306172351758467,4e-4
hierarchical,Categorical,Specificity,parm,parm,TRUE,15,0.08878888319801326,0.00903191516034258,0.07205703945861208,0.10749796418030662,4e-4
hierarchical,Categorical,Specificity,parm,svm,FALSE,15,0.004641026739559093,0.003500448733404048,-0.002765106980369525,0.01102942006728313,0.1996
hierarchical,Categorical,Specificity,svm,bn,FALSE,15,0.03732128245414973,0.008587419505254422,0.020461791110619833,0.05407739727256933,4e-4
hierarchical,Categorical,Specificity,svm,cart,FALSE,15,-0.005957709987989445,9.160386753480348e-4,-0.0077726084683816836,-0.004190734353640192,4e-4
hierarchical,Categorical,Specificity,svm,parm,FALSE,15,0.045477195187499465,0.007521166157692989,0.030420738236826707,0.05968170322543124,4e-4
hierarchical,Categorical,Specificity,svm,svm,TRUE,15,0.014921206945835232,0.004100470970580103,0.0065074493799132,0.022219989698971654,0.0016
hierarchical,Continuous,MAE,cart,cart,TRUE,15,0,0,0,0,1
hierarchical,Continuous,MAE,cart,parm,FALSE,15,0.027382263243245147,0.006263174060600338,0.016066462419416293,0.040350848843840874,4e-4
hierarchical,Continuous,MAE,cart,svm,FALSE,15,0.06012536405141726,0.012911334607644383,0.03690140302238117,0.08717704529082655,4e-4
hierarchical,Continuous,MAE,parm,cart,FALSE,15,-0.09925270853685539,0.01067807131185212,-0.12110411569218252,-0.07934285056127562,4e-4
hierarchical,Continuous,MAE,parm,parm,TRUE,15,0.8254744251284996,0.027682763041544427,0.7683611881299598,0.8779948761859171,4e-4
hierarchical,Continuous,MAE,parm,svm,FALSE,15,0.6400987555305157,0.03961612736879771,0.5619500027988988,0.7167781820472297,4e-4
hierarchical,Continuous,MAE,svm,cart,FALSE,15,-0.00735609848720219,0.0018762187098527033,-0.011085106871666433,-0.0038743049464673674,4e-4
hierarchical,Continuous,MAE,svm,parm,FALSE,15,0.3593564526479204,0.04913346615460823,0.2618166105265624,0.4550800996372338,4e-4
hierarchical,Continuous,MAE,svm,svm,TRUE,15,0.4551513917058183,0.06285247745804394,0.3320970181522468,0.5769706847154444,4e-4
hierarchical,Continuous,RMSE,cart,cart,TRUE,15,0,0,0,0,1
hierarchical,Continuous,RMSE,cart,parm,FALSE,15,0.0704760172653792,0.01355700563279144,0.0454661728511856,0.09857080088055746,4e-4
hierarchical,Continuous,RMSE,cart,svm,FALSE,15,0.14079667022652798,0.025318900126385827,0.09437864328325386,0.19342314285165704,4e-4
hierarchical,Continuous,RMSE,parm,cart,FALSE,15,-0.09823165344399562,0.011259549864199895,-0.12102715219916241,-0.07705011937811193,4e-4
hierarchical,Continuous,RMSE,parm,parm,TRUE,15,0.782616384007601,0.033081341476022964,0.7138005515779262,0.8449011619542205,4e-4
hierarchical,Continuous,RMSE,parm,svm,FALSE,15,0.6143294654465626,0.041797142940766543,0.5307301106580257,0.6947117303585387,4e-4
hierarchical,Continuous,RMSE,svm,cart,FALSE,15,-0.009555450197243636,0.002700344751078778,-0.015243977395183225,-0.004625850035574871,4e-4
hierarchical,Continuous,RMSE,svm,parm,FALSE,15,0.41322925396259985,0.05059749700813735,0.312203347648179,0.5110062602171983,4e-4
hierarchical,Continuous,RMSE,svm,svm,TRUE,15,0.5005627403689942,0.060038936178382456,0.3832555992820869,0.6148936650002731,4e-4
hierarchical,Continuous,R_squared,cart,cart,TRUE,15,0,0,0,0,1
hierarchical,Continuous,R_squared,cart,parm,FALSE,15,0.02571205577924202,0.005934632306160398,0.014536805466255066,0.037990731189791696,4e-4
hierarchical,Continuous,R_squared,cart,svm,FALSE,15,0.10800006099121369,0.02386446523684463,0.06368932631597841,0.1570073513635395,4e-4
hierarchical,Continuous,R_squared,parm,cart,FALSE,15,-0.1838838575923226,0.02006673121977245,-0.22432840689103972,-0.14594211209904276,4e-4
hierarchical,Continuous,R_squared,parm,parm,TRUE,15,0.904981000583126,0.02737287278594031,0.8470882219924376,0.9545815667329162,4e-4
hierarchical,Continuous,R_squared,parm,svm,FALSE,15,0.7603906960001037,0.04165297008161574,0.6762491586352405,0.8389282651365847,4e-4
