Data_Type,p,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,6,Continuous,MAE,cart,svm,FALSE,5,0.009179516025615153,0.003229724332414192,0.0028174700932874735,0.0155424169338529,0.0016
hierarchical,6,Continuous,MAE,parm,cart,FALSE,5,-0.0666141540217,0.011704408002488127,-0.08952099704876394,-0.044709314079560955,4e-4
hierarchical,6,Continuous,MAE,parm,parm,TRUE,5,0.721357647124973,0.042320624500624654,0.6310158885260779,0.7978324537581035,4e-4
hierarchical,6,Continuous,MAE,parm,svm,FALSE,5,0.4526711269671674,0.03634279330949829,0.38457469101617636,0.5217812466975137,4e-4
hierarchical,6,Continuous,MAE,svm,cart,FALSE,5,0,0,0,0,1
hierarchical,6,Continuous,MAE,svm,parm,FALSE,5,0.1017676603177463,0.01619198176480744,0.07464590416275896,0.13465737952834902,4e-4
hierarchical,6,Continuous,MAE,svm,svm,TRUE,5,0.13127521427603558,0.03783808054996712,0.05108516453560547,0.20337443280870673,0.0016
hierarchical,6,Continuous,RMSE,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Continuous,RMSE,cart,parm,FALSE,5,0.014715369716971063,0.005561979083126506,0.002500878676412782,0.02428088188583303,0.0188
hierarchical,6,Continuous,RMSE,cart,svm,FALSE,5,0.042128926660746455,0.015804350269575648,0.014401630092434854,0.0755468781659115,4e-4
hierarchical,6,Continuous,RMSE,parm,cart,FALSE,5,-0.06326417303406355,0.01306695759493979,-0.08858787749715721,-0.03850742647336005,4e-4
hierarchical,6,Continuous,RMSE,parm,parm,TRUE,5,0.6571234816468108,0.05295861562872723,0.5510329609826308,0.7569227488200851,4e-4
hierarchical,6,Continuous,RMSE,parm,svm,FALSE,5,0.4393534378358164,0.05206335449004662,0.33912394706807514,0.5387961802131863,4e-4
hierarchical,6,Continuous,RMSE,svm,cart,FALSE,5,0,0,0,0,1
hierarchical,6,Continuous,RMSE,svm,parm,FALSE,5,0.14675137723651344,0.012395523752233234,0.12468953536536087,0.17162540154751008,4e-4
hierarchical,6,Continuous,RMSE,svm,svm,TRUE,5,0.1989857180939799,0.04751105831421656,0.10220322871053733,0.27901670336765094,4e-4
hierarchical,6,Continuous,R_squared,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,6,Continuous,R_squared,cart,parm,FALSE,5,0.0018067472352216135,0.0026033432873530755,-0.004114377563633972,0.00521127772266507,0.5152
hierarchical,6,Continuous,R_squared,cart,svm,FALSE,5,0.02506197697309302,0.015245045173639782,-0.0016988398185242947,0.05698618111841624,0.0508
hierarchical,6,Continuous,R_squared,parm,cart,FALSE,5,-0.121174152032627,0.02428648296061485,-0.16824293003612148,-0.07514530504079822,4e-4
hierarchical,6,Continuous,R_squared,parm,parm,TRUE,5,0.8127964633761823,0.04988205666113175,0.703046073820903,0.9010224052663847,4e-4
hierarchical,6,Continuous,R_squared,parm,svm,FALSE,5,0.5731454836461373,0.05372244470083687,0.4689120953733059,0.6738640728613344,4e-4
hierarchical,6,Continuous,R_squared,svm,cart,FALSE,5,0,0,0,0,1
hierarchical,6,Continuous,R_squared,svm,parm,FALSE,5,0.08934229953596334,0.011919605187012227,0.065603124261049,0.11212181104281235,4e-4
hierarchical,6,Continuous,R_squared,svm,svm,TRUE,5,0.19091402162388238,0.039243514240464725,0.10942789156880856,0.2581730011312185,4e-4
hierarchical,12,Categorical,Accuracy,bn,bn,TRUE,5,0.2251447554104673,0.01472698618613798,0.1949004763378106,0.2521858756679754,4e-4
hierarchical,12,Categorical,Accuracy,bn,cart,FALSE,5,-0.013810197658645667,0.0031253698436424573,-0.019902510990150904,-0.007670761017748396,4e-4
hierarchical,12,Categorical,Accuracy,bn,parm,FALSE,5,0.1721136532745919,0.0073867103445570655,0.15891605023139788,0.18852810945557147,4e-4
hierarchical,12,Categorical,Accuracy,bn,svm,FALSE,5,0.06950407856832319,0.010532625440898868,0.05127759060094951,0.09205351234806075,4e-4
hierarchical,12,Categorical,Accuracy,cart,bn,FALSE,5,0.009488088453942617,0.0032523999166861493,0.003484379282156628,0.01654470459880074,0.0016
hierarchical,12,Categorical,Accuracy,cart,cart,TRUE,5,0,0,0,0,1
hierarchical,12,Categorical,Accuracy,cart,parm,FALSE,5,0.007092908927136128,0.004072971903883445,-4.827953299693661e-4,0.014972154135615492,0.1544
hierarchical,12,Categorical,Accuracy,cart,svm,FALSE,5,-0.0013687129891203085,0.0025857821018295327,-0.005679217090375945,0.004107274818608876,0.564
hierarchical,12,Categorical,Accuracy,parm,bn,FALSE,5,0.07303545546899094,0.02305290834946266,0.029471137433201,0.11659977350478087,4e-4
hierarchical,12,Categorical,Accuracy,parm,cart,FALSE,5,-0.08571930241345317,0.005655473715627494,-0.0970584935345161,-0.07531698344923335,4e-4
hierarchical,12,Categorical,Accuracy,parm,parm,TRUE,5,0.2218377760169282,0.013282095798605028,0.19649410696701933,0.24566609121575478,4e-4
hierarchical,12,Categorical,Accuracy,parm,svm,FALSE,5,0.04994410794567384,0.008253697577913836,0.03609204439419384,0.06764539871043368,4e-4
hierarchical,12,Categorical,Accuracy,svm,bn,FALSE,5,0.09934009572360257,0.026682611304097485,0.04160101857895683,0.15414392632787868,4e-4
