Data_Type,p,mc,TargetType,Target,Metric,Synthesis_Model,Synth_Family,matched_rel_orig,matched_delta,off_diagonal_delta,n_off_diagonal,diagonal_advantage,ceiling_constrained
hierarchical,18,1,Categorical,C3,Accuracy,svmhiersyn,svm,0.9753522418957222,0.024647758104277773,0.01960084583191235,3,0.0050469122723654225,FALSE
hierarchical,18,1,Categorical,C3,F1,bnhiersyn,bn,0.7084978210991356,0.2915021789008644,0.0022499145145565857,3,0.2892522643863078,FALSE
hierarchical,18,1,Categorical,C3,F1,carthiersyn,cart,1,0,7.037708243452214e-4,3,-7.037708243452214e-4,TRUE
hierarchical,18,1,Categorical,C3,F1,parmhiersyn,parm,0.8774448418285263,0.12255515817147367,-0.014235941469762172,3,0.13679109964123584,FALSE
hierarchical,18,1,Categorical,C3,F1,svmhiersyn,svm,0.9753552989329918,0.024644701067008223,0.019788454620384494,3,0.004856246446623729,FALSE
hierarchical,18,1,Categorical,C3,Specificity,bnhiersyn,bn,0.8886252406727592,0.11137475932724084,0.003557494202357033,3,0.10781726512488381,FALSE
hierarchical,18,1,Categorical,C3,Specificity,carthiersyn,cart,1,0,-0.001928192519775377,3,0.001928192519775377,TRUE
hierarchical,18,1,Categorical,C3,Specificity,parmhiersyn,parm,0.944932413432149,0.055067586567851046,-0.006645092849713314,3,0.06171267941756436,FALSE
hierarchical,18,1,Categorical,C3,Specificity,svmhiersyn,svm,0.9923052100654466,0.007694789934553414,0.010380304265903004,3,-0.00268551433134959,FALSE
hierarchical,18,1,Categorical,C6,Accuracy,bnhiersyn,bn,0.7469505726120101,0.25304942738798986,0.052553168502820324,3,0.20049625888516953,FALSE
hierarchical,18,1,Categorical,C6,Accuracy,carthiersyn,cart,1,0,0.005684333019255254,3,-0.005684333019255254,TRUE
hierarchical,18,1,Categorical,C6,Accuracy,parmhiersyn,parm,0.7499716404182092,0.2500283595817908,0.028472720422656472,3,0.22155563915913434,FALSE
hierarchical,18,1,Categorical,C6,Accuracy,svmhiersyn,svm,0.8902538880120494,0.10974611198795059,0.05777856012483073,3,0.05196755186311986,FALSE
hierarchical,18,1,Categorical,C6,F1,bnhiersyn,bn,0.7438665196267256,0.25613348037327444,0.054325922828005906,3,0.20180755754526852,FALSE
hierarchical,18,1,Categorical,C6,F1,carthiersyn,cart,1,0,0.005026938307038279,3,-0.005026938307038279,TRUE
hierarchical,18,1,Categorical,C6,F1,parmhiersyn,parm,0.74868341570839,0.25131658429160997,0.01606206151297541,3,0.23525452277863457,FALSE
hierarchical,18,1,Categorical,C6,F1,svmhiersyn,svm,0.8896733544984449,0.11032664550155513,0.05410823560738999,3,0.05621840989416514,FALSE
hierarchical,18,1,Categorical,C6,Specificity,bnhiersyn,bn,0.8852075775020245,0.1147924224979755,0.02773933145607109,3,0.08705309104190441,FALSE
hierarchical,18,1,Categorical,C6,Specificity,carthiersyn,cart,1,0,0.002997402183378021,3,-0.002997402183378021,TRUE
hierarchical,18,1,Categorical,C6,Specificity,parmhiersyn,parm,0.88647527151311,0.11352472848688999,0.02297062339783391,3,0.09055410508905608,FALSE
hierarchical,18,1,Categorical,C6,Specificity,svmhiersyn,svm,0.9506953807940224,0.04930461920597762,0.031174029236747176,3,0.01813058996923044,FALSE
hierarchical,18,1,Categorical,C9,Accuracy,bnhiersyn,bn,0.7631153150194396,0.232852395214916,0.00887436515880989,3,0.22397803005610611,FALSE
hierarchical,18,1,Categorical,C9,Accuracy,carthiersyn,cart,1,-2.9787238295431173e-4,0.03800775612894592,3,-0.03830562851190023,FALSE
hierarchical,18,1,Categorical,C9,Accuracy,parmhiersyn,parm,0.8185890729613589,0.18141092703864115,0.029130591373895467,3,0.1522803356647457,FALSE
