"Data_Type","TargetType","Synthesis_Label","Metric","Prediction_Model","Median"
"linear","Categorical","Parametric Syn.","Specificity","bnpred",0.849809811147033
"linear","Categorical","Parametric Syn.","Specificity","cartpred",0.870644663680127
"linear","Categorical","Parametric Syn.","Specificity","parmpred",0.886043019432524
"linear","Categorical","Parametric Syn.","Specificity","svmpred",0.878083643097152
"linear","Categorical","SVM Syn.","Accuracy","bnpred",0.599554353323976
"linear","Categorical","SVM Syn.","Accuracy","cartpred",0.659298565749641
"linear","Categorical","SVM Syn.","Accuracy","parmpred",0.701399890574973
"linear","Categorical","SVM Syn.","Accuracy","svmpred",0.688301487875372
"linear","Categorical","SVM Syn.","F1","bnpred",0.575419408016463
"linear","Categorical","SVM Syn.","F1","cartpred",0.626961580411433
"linear","Categorical","SVM Syn.","F1","parmpred",0.668384508518319
"linear","Categorical","SVM Syn.","F1","svmpred",0.659536754042208
"linear","Categorical","SVM Syn.","Specificity","bnpred",0.849809811147033
"linear","Categorical","SVM Syn.","Specificity","cartpred",0.870644663680127
"linear","Categorical","SVM Syn.","Specificity","parmpred",0.886043019432524
"linear","Categorical","SVM Syn.","Specificity","svmpred",0.878083643097152
"linear","Continuous","BN Syn.","Accuracy","bnpred",0.79548314626248
"linear","Continuous","BN Syn.","Accuracy","cartpred",0.793499858399965
"linear","Continuous","BN Syn.","Accuracy","parmpred",0.7938
"linear","Continuous","BN Syn.","Accuracy","svmpred",0.789204240522381
"linear","Continuous","BN Syn.","F1","bnpred",0.791214091219048
"linear","Continuous","BN Syn.","F1","cartpred",0.787690478472805
"linear","Continuous","BN Syn.","F1","parmpred",0.790272008592325
"linear","Continuous","BN Syn.","F1","svmpred",0.785532524436032
"linear","Continuous","BN Syn.","Specificity","bnpred",0.840494394671328
"linear","Continuous","BN Syn.","Specificity","cartpred",0.840618114061657
"linear","Continuous","BN Syn.","Specificity","parmpred",0.839309858075368
"linear","Continuous","BN Syn.","Specificity","svmpred",0.838855876816709
"linear","Continuous","CART Syn.","Accuracy","bnpred",0.787013526621274
"linear","Continuous","CART Syn.","F1","bnpred",0.783872087732782
"linear","Continuous","CART Syn.","MAE","cartpred",0.298714746035672
"linear","Continuous","CART Syn.","MAE","parmpred",0.255980275022787
"linear","Continuous","CART Syn.","MAE","svmpred",0.256129680246124
"linear","Continuous","CART Syn.","RMSE","cartpred",0.380475236538096
"linear","Continuous","CART Syn.","RMSE","parmpred",0.329986131186672
"linear","Continuous","CART Syn.","RMSE","svmpred",0.330901344470776
"linear","Continuous","CART Syn.","R_squared","cartpred",0.906044370519214
"linear","Continuous","CART Syn.","R_squared","parmpred",0.93694272014878
"linear","Continuous","CART Syn.","R_squared","svmpred",0.935792920651356
"linear","Continuous","CART Syn.","Specificity","bnpred",0.844666931738602
"linear","Continuous","Simulated Data","Accuracy","bnpred",0.796895259840718
"linear","Continuous","Simulated Data","F1","bnpred",0.795449182904383
"linear","Continuous","Simulated Data","MAE","cartpred",0.305757707387142
"linear","Continuous","Simulated Data","MAE","parmpred",0.129364150142921
"linear","Continuous","Simulated Data","MAE","svmpred",0.141341929591283
"linear","Continuous","Simulated Data","RMSE","cartpred",0.38613348683214
"linear","Continuous","Simulated Data","RMSE","parmpred",0.162707499234467
"linear","Continuous","Simulated Data","RMSE","svmpred",0.183889614274134
"linear","Continuous","Simulated Data","R_squared","cartpred",0.90783534997398
"linear","Continuous","Simulated Data","R_squared","parmpred",0.979957910190181
"linear","Continuous","Simulated Data","R_squared","svmpred",0.975797896794673
"linear","Continuous","Simulated Data","Specificity","bnpred",0.84713621175696
"linear","Continuous","Parametric Syn.","Accuracy","bnpred",0.781092781859481
"linear","Continuous","Parametric Syn.","F1","bnpred",0.779141052956637
"linear","Continuous","Parametric Syn.","MAE","cartpred",0.308266335973853
"linear","Continuous","Parametric Syn.","MAE","parmpred",0.131921025240804
"linear","Continuous","Parametric Syn.","MAE","svmpred",0.140495887141703
"linear","Continuous","Parametric Syn.","RMSE","cartpred",0.388004610546395
"linear","Continuous","Parametric Syn.","RMSE","parmpred",0.165114342681108
"linear","Continuous","Parametric Syn.","RMSE","svmpred",0.180398008133329
"linear","Continuous","Parametric Syn.","R_squared","cartpred",0.909577602115451
"linear","Continuous","Parametric Syn.","R_squared","parmpred",0.979347955442361
"linear","Continuous","Parametric Syn.","R_squared","svmpred",0.976363913133969
"linear","Continuous","Parametric Syn.","Specificity","bnpred",0.851970850231909
"linear","Continuous","SVM Syn.","Accuracy","bnpred",0.781092781859481
"linear","Continuous","SVM Syn.","F1","bnpred",0.779141052956637
"linear","Continuous","SVM Syn.","MAE","cartpred",0.308266335973853
"linear","Continuous","SVM Syn.","MAE","parmpred",0.131921025240804
"linear","Continuous","SVM Syn.","MAE","svmpred",0.140495887141703
"linear","Continuous","SVM Syn.","RMSE","cartpred",0.388004610546395
"linear","Continuous","SVM Syn.","RMSE","parmpred",0.165114342681108
"linear","Continuous","SVM Syn.","RMSE","svmpred",0.180398008133329
"linear","Continuous","SVM Syn.","R_squared","cartpred",0.909577602115451
"linear","Continuous","SVM Syn.","R_squared","parmpred",0.979347955442361
"linear","Continuous","SVM Syn.","R_squared","svmpred",0.976363913133969
"linear","Continuous","SVM Syn.","Specificity","bnpred",0.851970850231909
