dataset,synth_method,synth_seed,Synth_Family,Metric,Prediction_Model,Pred_Family,value_synth,rank_synth,best_synth,value_orig,rank_orig,best_orig
Adult,cartsyn,synmc1,cart,Accuracy,parmpred,parm,0.8423182058800383,3,FALSE,0.8459652063957693,3,FALSE
Adult,cartsyn,synmc1,cart,Specificity,parmpred,parm,0.5627659574468085,4,FALSE,0.5831103276909934,3,FALSE
Adult,cartsyn,synmc1,cart,F1,parmpred,parm,0.8990313831659067,2,FALSE,0.9009840986832458,3,FALSE
Adult,cartsyn,synmc1,cart,Accuracy,cartpred,cart,0.8517341403887813,1,TRUE,0.8533916080918345,1,TRUE
Adult,cartsyn,synmc1,cart,Specificity,cartpred,cart,0.5929521276595745,1,TRUE,0.5864427709534079,2,FALSE
Adult,cartsyn,synmc1,cart,F1,cartpred,cart,0.9047164816210161,1,TRUE,0.9061066843827918,1,TRUE
Adult,cartsyn,synmc1,cart,Accuracy,bnpred,bn,0.8250912609132948,4,FALSE,0.828332417254344,4,FALSE
Adult,cartsyn,synmc1,cart,Specificity,bnpred,bn,0.5792851479504165,3,FALSE,0.554059938390221,4,FALSE
Adult,cartsyn,synmc1,cart,F1,bnpred,bn,0.8861201608427188,4,FALSE,0.8893809930154937,4,FALSE
Adult,cartsyn,synmc1,cart,Accuracy,svmpred,svm,0.8428482482069221,2,FALSE,0.8468932036487207,2,FALSE
Adult,cartsyn,synmc1,cart,Specificity,svmpred,svm,0.5821808510638298,2,FALSE,0.5958931950381947,1,TRUE
Adult,cartsyn,synmc1,cart,F1,svmpred,svm,0.898790850030679,3,FALSE,0.9012413092343875,2,FALSE
Adult,cartsyn,synmc2,cart,Accuracy,parmpred,parm,0.8411248065382266,3,FALSE,0.8459652063957693,3,FALSE
Adult,cartsyn,synmc2,cart,Specificity,parmpred,parm,0.568405615297357,3,FALSE,0.5831103276909934,3,FALSE
Adult,cartsyn,synmc2,cart,F1,parmpred,parm,0.8977854404030999,3,FALSE,0.9009840986832458,3,FALSE
Adult,cartsyn,synmc2,cart,Accuracy,cartpred,cart,0.8491480417453727,2,FALSE,0.8533916080918345,1,TRUE
Adult,cartsyn,synmc2,cart,Specificity,cartpred,cart,0.5605190063594997,4,FALSE,0.5864427709534079,2,FALSE
Adult,cartsyn,synmc2,cart,F1,cartpred,cart,0.9036922814925309,2,FALSE,0.9061066843827918,1,TRUE
Adult,cartsyn,synmc2,cart,Accuracy,bnpred,bn,0.8242435516640648,4,FALSE,0.828332417254344,4,FALSE
Adult,cartsyn,synmc2,cart,Specificity,bnpred,bn,0.5840560916009467,2,FALSE,0.554059938390221,4,FALSE
Adult,cartsyn,synmc2,cart,F1,bnpred,bn,0.885069492324566,4,FALSE,0.8893809930154937,4,FALSE
Adult,cartsyn,synmc2,cart,Accuracy,svmpred,svm,0.8523306314800634,1,TRUE,0.8468932036487207,2,FALSE
Adult,cartsyn,synmc2,cart,Specificity,svmpred,svm,0.6233390440102257,1,TRUE,0.5958931950381947,1,TRUE
Adult,cartsyn,synmc2,cart,F1,svmpred,svm,0.9039724990412674,1,TRUE,0.9012413092343875,2,FALSE
Adult,cartsyn,synmc3,cart,Accuracy,parmpred,parm,0.844406739352335,3,FALSE,0.8459652063957693,3,FALSE
Adult,cartsyn,synmc3,cart,Specificity,parmpred,parm,0.5685111406615495,4,FALSE,0.5831103276909934,3,FALSE
Adult,cartsyn,synmc3,cart,F1,parmpred,parm,0.9002573814487991,3,FALSE,0.9009840986832458,3,FALSE
Adult,cartsyn,synmc3,cart,Accuracy,cartpred,cart,0.8541873789463597,1,TRUE,0.8533916080918345,1,TRUE
Adult,cartsyn,synmc3,cart,Specificity,cartpred,cart,0.586537112863657,2,FALSE,0.5864427709534079,2,FALSE
Adult,cartsyn,synmc3,cart,F1,cartpred,cart,0.906572301356275,1,TRUE,0.9061066843827918,1,TRUE
Adult,cartsyn,synmc3,cart,Accuracy,bnpred,bn,0.8289927337229097,4,FALSE,0.828332417254344,4,FALSE
Adult,cartsyn,synmc3,cart,Specificity,bnpred,bn,0.9063586357268526,1,TRUE,0.554059938390221,4,FALSE
Adult,cartsyn,synmc3,cart,F1,bnpred,bn,0.6362876966590851,4,FALSE,0.8893809930154937,4,FALSE
Adult,cartsyn,synmc3,cart,Accuracy,svmpred,svm,0.8452028799666611,2,FALSE,0.8468932036487207,2,FALSE
Adult,cartsyn,synmc3,cart,Specificity,svmpred,svm,0.5716923184952097,3,FALSE,0.5958931950381947,1,TRUE
Adult,cartsyn,synmc3,cart,F1,svmpred,svm,0.9007150391826879,2,FALSE,0.9012413092343875,2,FALSE
Adult,cartsyn,synmc4,cart,Accuracy,parmpred,parm,0.8442079102591944,3,FALSE,0.8459652063957693,3,FALSE
Adult,cartsyn,synmc4,cart,Specificity,parmpred,parm,0.5746235890402949,4,FALSE,0.5831103276909934,3,FALSE
Adult,cartsyn,synmc4,cart,F1,parmpred,parm,0.9000040033781973,3,FALSE,0.9009840986832458,3,FALSE
Adult,cartsyn,synmc4,cart,Accuracy,cartpred,cart,0.8554139605893746,1,TRUE,0.8533916080918345,1,TRUE
Adult,cartsyn,synmc4,cart,Specificity,cartpred,cart,0.6028459725023987,1,TRUE,0.5864427709534079,2,FALSE
Adult,cartsyn,synmc4,cart,F1,cartpred,cart,0.9070287707050908,1,TRUE,0.9061066843827918,1,TRUE
Adult,cartsyn,synmc4,cart,Accuracy,bnpred,bn,0.8290739977010079,4,FALSE,0.828332417254344,4,FALSE
Adult,cartsyn,synmc4,cart,Specificity,bnpred,bn,0.5750978193146418,3,FALSE,0.554059938390221,4,FALSE
Adult,cartsyn,synmc4,cart,F1,bnpred,bn,0.8891683271110682,4,FALSE,0.8893809930154937,4,FALSE
Adult,cartsyn,synmc4,cart,Accuracy,svmpred,svm,0.8479544077811939,2,FALSE,0.8468932036487207,2,FALSE
Adult,cartsyn,synmc4,cart,Specificity,svmpred,svm,0.587136955560694,2,FALSE,0.5958931950381947,1,TRUE
Adult,cartsyn,synmc4,cart,F1,svmpred,svm,0.9022671194395548,2,FALSE,0.9012413092343875,2,FALSE
Adult,cartsyn,synmc5,cart,Accuracy,parmpred,parm,0.8457994129106888,3,FALSE,0.8459652063957693,3,FALSE
Adult,cartsyn,synmc5,cart,Specificity,parmpred,parm,0.5697289044696064,4,FALSE,0.5831103276909934,3,FALSE
Adult,cartsyn,synmc5,cart,F1,parmpred,parm,0.9013769141540972,3,FALSE,0.9009840986832458,3,FALSE
Adult,cartsyn,synmc5,cart,Accuracy,cartpred,cart,0.8529607329888971,2,FALSE,0.8533916080918345,1,TRUE
Adult,cartsyn,synmc5,cart,Specificity,cartpred,cart,0.5918060648390664,2,FALSE,0.5864427709534079,2,FALSE
Adult,cartsyn,synmc5,cart,F1,cartpred,cart,0.9057198656360619,2,FALSE,0.9061066843827918,1,TRUE
Adult,cartsyn,synmc5,cart,Accuracy,bnpred,bn,0.8300034959920963,4,FALSE,0.828332417254344,4,FALSE
Adult,cartsyn,synmc5,cart,Specificity,bnpred,bn,0.5863961865469209,3,FALSE,0.554059938390221,4,FALSE
Adult,cartsyn,synmc5,cart,F1,bnpred,bn,0.8895524632221044,4,FALSE,0.8893809930154937,4,FALSE
Adult,cartsyn,synmc5,cart,Accuracy,svmpred,svm,0.8585638295299812,1,TRUE,0.8468932036487207,2,FALSE
Adult,cartsyn,synmc5,cart,Specificity,svmpred,svm,0.6205863364270907,1,TRUE,0.5958931950381947,1,TRUE
Adult,cartsyn,synmc5,cart,F1,svmpred,svm,0.9088143757782483,1,TRUE,0.9012413092343875,2,FALSE
Adult,bnsyn,synmc1,bn,Accuracy,parmpred,parm,0.8389693995139905,2,FALSE,0.8459652063957693,3,FALSE
Adult,bnsyn,synmc1,bn,Specificity,parmpred,parm,0.5660464265898894,2,FALSE,0.5831103276909934,3,FALSE
Adult,bnsyn,synmc1,bn,F1,parmpred,parm,0.8967748950157243,1,TRUE,0.9009840986832458,3,FALSE
Adult,bnsyn,synmc1,bn,Accuracy,cartpred,cart,0.8316424013636757,3,FALSE,0.8533916080918345,1,TRUE
Adult,bnsyn,synmc1,bn,Specificity,cartpred,cart,0.5421052441029977,3,FALSE,0.5864427709534079,2,FALSE
Adult,bnsyn,synmc1,bn,F1,cartpred,cart,0.8923751862543876,2,FALSE,0.9061066843827918,1,TRUE
Adult,bnsyn,synmc1,bn,Accuracy,bnpred,bn,0.8391906397578389,1,TRUE,0.828332417254344,4,FALSE
Adult,bnsyn,synmc1,bn,Specificity,bnpred,bn,0.9248410029655401,1,TRUE,0.554059938390221,4,FALSE
Adult,bnsyn,synmc1,bn,F1,bnpred,bn,0.6390348313591482,4,FALSE,0.8893809930154937,4,FALSE
Adult,bnsyn,synmc1,bn,Accuracy,svmpred,svm,0.8295866984459038,4,FALSE,0.8468932036487207,2,FALSE
Adult,bnsyn,synmc1,bn,Specificity,svmpred,svm,0.5090129710971987,4,FALSE,0.5958931950381947,1,TRUE
Adult,bnsyn,synmc1,bn,F1,svmpred,svm,0.8920512029250812,3,FALSE,0.9012413092343875,2,FALSE
Adult,bnsyn,synmc2,bn,Accuracy,parmpred,parm,0.8398979243691087,2,FALSE,0.8459652063957693,3,FALSE
Adult,bnsyn,synmc2,bn,Specificity,parmpred,parm,0.5783235606669508,2,FALSE,0.5831103276909934,3,FALSE
Adult,bnsyn,synmc2,bn,F1,parmpred,parm,0.8969677606045897,1,TRUE,0.9009840986832458,3,FALSE
Adult,bnsyn,synmc2,bn,Accuracy,cartpred,cart,0.8329354883243839,3,FALSE,0.8533916080918345,1,TRUE
Adult,bnsyn,synmc2,bn,Specificity,cartpred,cart,0.5400989493709352,3,FALSE,0.5864427709534079,2,FALSE
Adult,bnsyn,synmc2,bn,F1,cartpred,cart,0.8933057496151893,2,FALSE,0.9061066843827918,1,TRUE
Adult,bnsyn,synmc2,bn,Accuracy,bnpred,bn,0.841933598294077,1,TRUE,0.828332417254344,4,FALSE
Adult,bnsyn,synmc2,bn,Specificity,bnpred,bn,0.9204740764718908,1,TRUE,0.554059938390221,4,FALSE
Adult,bnsyn,synmc2,bn,F1,bnpred,bn,0.6536105171156624,4,FALSE,0.8893809930154937,4,FALSE
Adult,bnsyn,synmc2,bn,Accuracy,svmpred,svm,0.8293547898142885,4,FALSE,0.8468932036487207,2,FALSE
Adult,bnsyn,synmc2,bn,Specificity,svmpred,svm,0.5175711103079603,4,FALSE,0.5958931950381947,1,TRUE
Adult,bnsyn,synmc2,bn,F1,svmpred,svm,0.8915443037736674,3,FALSE,0.9012413092343875,2,FALSE
Adult,bnsyn,synmc3,bn,Accuracy,parmpred,parm,0.84321304113846,2,FALSE,0.8459652063957693,3,FALSE
Adult,bnsyn,synmc3,bn,Specificity,parmpred,parm,0.5961311530016086,2,FALSE,0.5831103276909934,3,FALSE
Adult,bnsyn,synmc3,bn,F1,parmpred,parm,0.8984996662925873,2,FALSE,0.9009840986832458,3,FALSE
Adult,bnsyn,synmc3,bn,Accuracy,cartpred,cart,0.8371127619929468,4,FALSE,0.8533916080918345,1,TRUE
Adult,bnsyn,synmc3,bn,Specificity,cartpred,cart,0.5709719890778879,3,FALSE,0.5864427709534079,2,FALSE
Adult,bnsyn,synmc3,bn,F1,cartpred,cart,0.8949950542792374,4,FALSE,0.9061066843827918,1,TRUE
Adult,bnsyn,synmc3,bn,Accuracy,bnpred,bn,0.8447229341336165,1,TRUE,0.828332417254344,4,FALSE
Adult,bnsyn,synmc3,bn,Specificity,bnpred,bn,0.6082525931171366,1,TRUE,0.554059938390221,4,FALSE
Adult,bnsyn,synmc3,bn,F1,bnpred,bn,0.8991679772541988,1,TRUE,0.8893809930154937,4,FALSE
Adult,bnsyn,synmc3,bn,Accuracy,svmpred,svm,0.8400634540531058,3,FALSE,0.8468932036487207,2,FALSE
Adult,bnsyn,synmc3,bn,Specificity,svmpred,svm,0.556805326063613,4,FALSE,0.5958931950381947,1,TRUE
Adult,bnsyn,synmc3,bn,F1,svmpred,svm,0.897556375923363,3,FALSE,0.9012413092343875,2,FALSE
Adult,bnsyn,synmc4,bn,Accuracy,parmpred,parm,0.8414562468316391,2,FALSE,0.8459652063957693,3,FALSE
Adult,bnsyn,synmc4,bn,Specificity,parmpred,parm,0.5820239680426098,2,FALSE,0.5831103276909934,3,FALSE
Adult,bnsyn,synmc4,bn,F1,parmpred,parm,0.8978204196811261,2,FALSE,0.9009840986832458,3,FALSE
Adult,bnsyn,synmc4,bn,Accuracy,cartpred,cart,0.8321730152595737,3,FALSE,0.8533916080918345,1,TRUE
Adult,bnsyn,synmc4,bn,Specificity,cartpred,cart,0.5300932090545939,3,FALSE,0.5864427709534079,2,FALSE
Adult,bnsyn,synmc4,bn,F1,cartpred,cart,0.8929825941915779,3,FALSE,0.9061066843827918,1,TRUE
Adult,bnsyn,synmc4,bn,Accuracy,bnpred,bn,0.8422995881044515,1,TRUE,0.828332417254344,4,FALSE
Adult,bnsyn,synmc4,bn,Specificity,bnpred,bn,0.5986655610743244,1,TRUE,0.554059938390221,4,FALSE
Adult,bnsyn,synmc4,bn,F1,bnpred,bn,0.897854172474019,1,TRUE,0.8893809930154937,4,FALSE
Adult,bnsyn,synmc4,bn,Accuracy,svmpred,svm,0.8296533356987497,4,FALSE,0.8468932036487207,2,FALSE
Adult,bnsyn,synmc4,bn,Specificity,svmpred,svm,0.5034620505992011,4,FALSE,0.5958931950381947,1,TRUE
Adult,bnsyn,synmc4,bn,F1,svmpred,svm,0.8921192344893114,4,FALSE,0.9012413092343875,2,FALSE
Adult,bnsyn,synmc5,bn,Accuracy,parmpred,parm,0.8405613054387717,2,FALSE,0.8459652063957693,3,FALSE
Adult,bnsyn,synmc5,bn,Specificity,parmpred,parm,0.5635276270972052,2,FALSE,0.5831103276909934,3,FALSE
Adult,bnsyn,synmc5,bn,F1,parmpred,parm,0.8980264302889291,2,FALSE,0.9009840986832458,3,FALSE
Adult,bnsyn,synmc5,bn,Accuracy,cartpred,cart,0.832935755813368,3,FALSE,0.8533916080918345,1,TRUE
Adult,bnsyn,synmc5,bn,Specificity,cartpred,cart,0.5097114121992569,3,FALSE,0.5864427709534079,2,FALSE
Adult,bnsyn,synmc5,bn,F1,cartpred,cart,0.8944162253421739,3,FALSE,0.9061066843827918,1,TRUE
Adult,bnsyn,synmc5,bn,Accuracy,bnpred,bn,0.8423446000215017,1,TRUE,0.828332417254344,4,FALSE
Adult,bnsyn,synmc5,bn,Specificity,bnpred,bn,0.5766046603518243,1,TRUE,0.554059938390221,4,FALSE
Adult,bnsyn,synmc5,bn,F1,bnpred,bn,0.8988591335873964,1,TRUE,0.8893809930154937,4,FALSE
Adult,bnsyn,synmc5,bn,Accuracy,svmpred,svm,0.8302833128195332,4,FALSE,0.8468932036487207,2,FALSE
Adult,bnsyn,synmc5,bn,Specificity,svmpred,svm,0.5047211628323883,4,FALSE,0.5958931950381947,1,TRUE
Adult,bnsyn,synmc5,bn,F1,svmpred,svm,0.892728071311921,4,FALSE,0.9012413092343875,2,FALSE
Adult,svmsyn,synmc1,svm,Accuracy,parmpred,parm,0.8293878803626913,3,FALSE,0.8459652063957693,3,FALSE
Adult,svmsyn,synmc1,svm,Specificity,parmpred,parm,0.439228045929226,4,FALSE,0.5831103276909934,3,FALSE
Adult,svmsyn,synmc1,svm,F1,parmpred,parm,0.894461277276361,3,FALSE,0.9009840986832458,3,FALSE
Adult,svmsyn,synmc1,svm,Accuracy,cartpred,cart,0.8456998444892613,1,TRUE,0.8533916080918345,1,TRUE
Adult,svmsyn,synmc1,svm,Specificity,cartpred,cart,0.5547498059440577,1,TRUE,0.5864427709534079,2,FALSE
Adult,svmsyn,synmc1,svm,F1,cartpred,cart,0.9021471541575272,1,TRUE,0.9061066843827918,1,TRUE
Adult,svmsyn,synmc1,svm,Accuracy,bnpred,bn,0.818309766788077,4,FALSE,0.828332417254344,4,FALSE
Adult,svmsyn,synmc1,svm,Specificity,bnpred,bn,0.4896827766782912,3,FALSE,0.554059938390221,4,FALSE
Adult,svmsyn,synmc1,svm,F1,bnpred,bn,0.8851464510626597,4,FALSE,0.8893809930154937,4,FALSE
Adult,svmsyn,synmc1,svm,Accuracy,svmpred,svm,0.8353223880065476,2,FALSE,0.8468932036487207,2,FALSE
Adult,svmsyn,synmc1,svm,Specificity,svmpred,svm,0.5102658168467712,2,FALSE,0.5958931950381947,1,TRUE
Adult,svmsyn,synmc1,svm,F1,svmpred,svm,0.8963084744951549,2,FALSE,0.9012413092343875,2,FALSE
Adult,svmsyn,synmc2,svm,Accuracy,parmpred,parm,0.8265035782418625,3,FALSE,0.8459652063957693,3,FALSE
Adult,svmsyn,synmc2,svm,Specificity,parmpred,parm,0.4425481550373699,4,FALSE,0.5831103276909934,3,FALSE
Adult,svmsyn,synmc2,svm,F1,parmpred,parm,0.8923537030480357,3,FALSE,0.9009840986832458,3,FALSE
Adult,svmsyn,synmc2,svm,Accuracy,cartpred,cart,0.838737490882375,1,TRUE,0.8533916080918345,1,TRUE
Adult,svmsyn,synmc2,svm,Specificity,cartpred,cart,0.5547203515495146,1,TRUE,0.5864427709534079,2,FALSE
Adult,svmsyn,synmc2,svm,F1,cartpred,cart,0.8972540163006069,1,TRUE,0.9061066843827918,1,TRUE
Adult,svmsyn,synmc2,svm,Accuracy,bnpred,bn,0.809872065892698,4,FALSE,0.828332417254344,4,FALSE
Adult,svmsyn,synmc2,svm,Specificity,bnpred,bn,0.47997289958504724,3,FALSE,0.554059938390221,4,FALSE
Adult,svmsyn,synmc2,svm,F1,bnpred,bn,0.8794683003315962,4,FALSE,0.8893809930154937,4,FALSE
Adult,svmsyn,synmc2,svm,Accuracy,svmpred,svm,0.8306145004420866,2,FALSE,0.8468932036487207,2,FALSE
Adult,svmsyn,synmc2,svm,Specificity,svmpred,svm,0.5029386992070339,2,FALSE,0.5958931950381947,1,TRUE
Adult,svmsyn,synmc2,svm,F1,svmpred,svm,0.8932267466633124,2,FALSE,0.9012413092343875,2,FALSE
Adult,svmsyn,synmc3,svm,Accuracy,parmpred,parm,0.8267025392173285,3,FALSE,0.8459652063957693,3,FALSE
Adult,svmsyn,synmc3,svm,Specificity,parmpred,parm,0.4290420087795256,4,FALSE,0.5831103276909934,3,FALSE
Adult,svmsyn,synmc3,svm,F1,parmpred,parm,0.8929743889420083,3,FALSE,0.9009840986832458,3,FALSE
Adult,svmsyn,synmc3,svm,Accuracy,cartpred,cart,0.8365161043966408,1,TRUE,0.8533916080918345,1,TRUE
Adult,svmsyn,synmc3,svm,Specificity,cartpred,cart,0.5610865250547428,2,FALSE,0.5864427709534079,2,FALSE
Adult,svmsyn,synmc3,svm,F1,cartpred,cart,0.895547719295714,1,TRUE,0.9061066843827918,1,TRUE
Adult,svmsyn,synmc3,svm,Accuracy,bnpred,bn,0.8098744760950825,4,FALSE,0.828332417254344,4,FALSE
Adult,svmsyn,synmc3,svm,Specificity,bnpred,bn,0.9229463847443458,1,TRUE,0.554059938390221,4,FALSE
Adult,svmsyn,synmc3,svm,F1,bnpred,bn,0.5343778380969184,4,FALSE,0.8893809930154937,4,FALSE
Adult,svmsyn,synmc3,svm,Accuracy,svmpred,svm,0.8315762147710141,2,FALSE,0.8468932036487207,2,FALSE
