Synth_Family,Synthesis_Model,Data_Type,p,Metric,TargetType,n_cases,n_reversals,reversal_rate,n_reversals_to_synth_family,share_reversals_to_synth_family,n_synth_family_becomes_winner,synth_family_becomes_winner_rate,mean_synth_family_rank_change,top1_agreement,spearman_rho,kendall_tau
svm,svmlinsyn,parametric,6,R_squared,Continuous,75,75,1,23,0.30666666666666664,23,0.30666666666666664,-0.30666666666666664,0,-0.7933333333333333,-0.76
svm,svmlinsyn,parametric,6,Specificity,Categorical,75,61,0.8133333333333334,17,0.2786885245901639,17,0.22666666666666666,-0.3,0.18666666666666668,0.05682846950169838,0.059363699233264455
svm,svmlinsyn,parametric,12,Accuracy,Categorical,75,22,0.29333333333333333,7,0.3181818181818182,7,0.09333333333333334,-0.02666666666666667,0.7066666666666667,0.8266666666666667,0.7866666666666666
svm,svmlinsyn,parametric,12,F1,Categorical,75,24,0.32,9,0.375,9,0.12,-0.02666666666666667,0.68,0.8106666666666666,0.7644444444444445
svm,svmlinsyn,parametric,12,MAE,Continuous,75,37,0.49333333333333335,37,1,37,0.49333333333333335,-0.49333333333333335,0.5066666666666667,0.7266666666666667,0.6533333333333333
svm,svmlinsyn,parametric,12,RMSE,Continuous,75,39,0.52,39,1,39,0.52,-0.52,0.48,0.74,0.6533333333333333
svm,svmlinsyn,parametric,12,R_squared,Continuous,75,38,0.5066666666666667,38,1,38,0.5066666666666667,-0.5066666666666667,0.49333333333333335,0.7466666666666667,0.6622222222222223
svm,svmlinsyn,parametric,12,Specificity,Categorical,75,34,0.4533333333333333,6,0.17647058823529413,6,0.08,0.04,0.5466666666666666,0.5306666666666666,0.5244444444444445
svm,svmlinsyn,parametric,18,Accuracy,Categorical,75,20,0.26666666666666666,15,0.75,15,0.2,-0.18666666666666668,0.7333333333333333,0.8933333333333333,0.8577777777777778
svm,svmlinsyn,parametric,18,F1,Categorical,75,18,0.24,10,0.5555555555555556,10,0.13333333333333333,-0.10666666666666667,0.76,0.8773333333333333,0.8444444444444444
svm,svmlinsyn,parametric,18,MAE,Continuous,75,8,0.10666666666666667,8,1,8,0.10666666666666667,-0.10666666666666667,0.8933333333333333,0.9466666666666667,0.9288888888888889
svm,svmlinsyn,parametric,18,RMSE,Continuous,75,11,0.14666666666666667,11,1,11,0.14666666666666667,-0.14666666666666667,0.8533333333333334,0.9266666666666666,0.9022222222222223
svm,svmlinsyn,parametric,18,R_squared,Continuous,75,12,0.16,12,1,12,0.16,-0.16,0.84,0.92,0.8933333333333333
svm,svmlinsyn,parametric,18,Specificity,Categorical,75,20,0.26666666666666666,11,0.55,11,0.14666666666666667,-0.12,0.7333333333333333,0.856,0.8222222222222222
